799   3.943e-03   2.130e-02   3.150e-22   1.00E+00	1.00E+00	1.00E+00
802   3.847e-03   2.104e-02   3.325e-22   1.00E+00	1.00E+00	1.00E+00
804   3.891e-03   2.078e-02   2.312e-22   1.00E+00	1.00E+00	1.00E+00
807   4.171e-03   2.052e-02   1.138e-22   1.00E+00	1.00E+00	1.00E+00
809   4.692e-03   2.027e-02   9.675e-23   1.00E+00	1.00E+00	1.00E+00
812   5.313e-03   2.003e-02   1.269e-22   1.00E+00	1.00E+00	1.00E+00
814   5.836e-03   1.979e-02   1.403e-22   1.00E+00	1.00E+00	1.00E+00
817   6.024e-03   1.955e-02   1.070e-22   1.00E+00	1.00E+00	1.00E+00
819   5.699e-03   1.932e-02   6.941e-23   1.00E+00	1.00E+00	1.00E+00
822   4.916e-03   1.908e-02   6.586e-23   1.00E+00	1.00E+00	1.00E+00
824   3.982e-03   1.885e-02   8.298e-23   1.00E+00	1.00E+00	1.00E+00
827   3.185e-03   1.862e-02   1.014e-22   1.00E+00	1.00E+00	1.00E+00
829   2.620e-03   1.840e-02   1.147e-22   1.00E+00	1.00E+00	1.00E+00
832   2.259e-03   1.817e-02   1.471e-22   1.00E+00	1.00E+00	1.00E+00
835   2.051e-03   1.795e-02   1.970e-22   1.00E+00	1.00E+00	1.00E+00
837   1.974e-03   1.774e-02   1.945e-22   1.00E+00	1.00E+00	1.00E+00
840   1.990e-03   1.754e-02   1.761e-22   1.00E+00	1.00E+00	1.00E+00
842   2.081e-03   1.733e-02   1.913e-22   1.00E+00	1.00E+00	1.00E+00
845   2.267e-03   1.713e-02   1.738e-22   1.00E+00	1.00E+00	1.00E+00
847   2.602e-03   1.693e-02   1.158e-22   1.00E+00	1.00E+00	1.00E+00
850   3.172e-03   1.673e-02   7.480e-23   1.00E+00	1.00E+00	1.00E+00
852   3.781e-03   1.654e-02   8.119e-23   1.00E+00	1.00E+00	1.00E+00
855   3.974e-03   1.634e-02   1.025e-22   1.00E+00	1.00E+00	1.00E+00
857   3.669e-03   1.614e-02   8.662e-23   1.00E+00	1.00E+00	1.00E+00
860   3.165e-03   1.595e-02   6.504e-23   1.00E+00	1.00E+00	1.00E+00
862   2.572e-03   1.577e-02   6.390e-23   1.00E+00	1.00E+00	1.00E+00
865   2.051e-03   1.560e-02   5.998e-23   1.00E+00	1.00E+00	1.00E+00
867   1.649e-03   1.542e-02   6.107e-23   1.00E+00	1.00E+00	1.00E+00
870   1.362e-03   1.524e-02   6.062e-23   1.00E+00	1.00E+00	1.00E+00
872   1.178e-03   1.507e-02   5.796e-23   1.00E+00	1.00E+00	1.00E+00
875   1.081e-03   1.490e-02   6.097e-23   1.00E+00	1.00E+00	1.00E+00
877   1.057e-03   1.472e-02   6.736e-23   1.00E+00	1.00E+00	1.00E+00
880   1.097e-03   1.456e-02   7.289e-23   1.00E+00	1.00E+00	1.00E+00
